idade,genero,renda,compras_ano_passado,satisfacao
36,Feminino,411.2659812347083,9,Media
69,Feminino,1221.3917064243644,4,Baixa
65,Feminino,1134.7364119328302,4,Baixa
20,Masculino,3910.18673892502,2,Baixa
66,Feminino,2349.845446239455,8,Baixa
73,Feminino,3047.5059636381948,6,Media
73,Feminino,1412.8491523708458,7,Media
36,Feminino,3183.0041323566543,2,Baixa
31,Feminino,2895.161032966609,3,Alta
35,Masculino,2751.8529850144546,8,Media
25,Feminino,1681.1241220408688,7,Alta
58,Masculino,3013.7289539313365,6,Media
19,Masculino,4491.216573720175,5,Media
24,Masculino,2784.728589028902,0,Alta
37,Feminino,1203.0825768926074,9,Media
28,Masculino,2086.3190724939045,2,Media
79,Feminino,3839.6487990415144,6,Baixa
32,Feminino,2467.8457083809953,3,Media
65,Masculino,2412.763460022072,9,Baixa
77,Masculino,1241.8876334672968,6,Alta
55,Masculino,3310.8485584710293,8,Media
58,Feminino,2249.279847770116,8,Media
71,Masculino,3160.94932680635,1,Media
74,Feminino,3034.9573118543503,7,Media
66,Feminino,2709.5909512714034,4,Media
24,Feminino,4065.328145832623,3,Alta
18,Masculino,2890.433538320499,2,Alta
42,Masculino,-45.32985395333844,3,Baixa
30,Feminino,1536.360309999584,3,Media
49,Masculino,3508.5417981523733,4,Baixa
41,Masculino,1416.0618425343494,1,Media
53,Masculino,2969.3674497794104,5,Media
54,Masculino,2408.8924424296506,3,Alta
42,Feminino,4132.266625603662,3,Media
36,Feminino,852.3875625957326,5,Media
42,Feminino,2759.9622305073285,7,Media
79,Masculino,2153.832138376975,5,Alta
51,Masculino,2436.1633574281686,4,Media
26,Masculino,3987.335205727731,0,Media
73,Masculino,3905.3962121238874,8,Media
71,Feminino,730.6789996212729,3,Media
38,Masculino,3262.252563217589,1,Baixa
63,Feminino,1977.1817559426445,9,Media
51,Feminino,1885.6972953513211,5,Alta
36,Feminino,1628.3526272361282,0,Alta
26,Feminino,1130.136129974698,6,Media
24,Feminino,3627.161653276954,2,Media
49,Feminino,3612.1487229656655,5,Baixa
60,Masculino,3770.6102842178716,5,Media
39,Feminino,818.4771705874982,1,Media
46,Feminino,3025.5960809917497,3,Media
49,Masculino,4307.9270335091105,5,Media
36,Masculino,3609.732510999688,4,Alta
39,Masculino,4994.028334937338,3,Media
40,Feminino,2813.565157659867,3,Media
52,Feminino,1112.6562951123103,7,Media
49,Masculino,2875.341661152994,3,Baixa
67,Masculino,3235.0300210830906,6,Media
35,Feminino,2569.4178679950264,9,Baixa
62,Masculino,2401.499749516202,6,Media
19,Masculino,2756.7391169848884,5,Media
39,Masculino,1079.7303112522407,7,Media
64,Masculino,1252.3198324658445,1,Media
24,Masculino,1668.973676237265,2,Media
20,Feminino,1336.6460726052576,7,Alta
67,Masculino,4199.775533828048,7,Baixa
44,Masculino,3108.914545773427,8,Baixa
32,Feminino,2889.9218813704383,7,Media
33,Masculino,3646.398131207433,7,Baixa
38,Masculino,1134.7144375075122,5,Alta
52,Feminino,2697.88724586136,7,Media
69,Feminino,3447.952755179772,5,Baixa
26,Masculino,3119.8271023470957,9,Media
47,Feminino,1581.8894600773165,5,Media
47,Masculino,2564.549124657019,6,Baixa
47,Masculino,1471.7955407300715,7,Alta
20,Masculino,2636.5436400283543,5,Baixa
63,Feminino,2396.961692715539,3,Baixa
39,Masculino,2512.993867767553,6,Media
49,Feminino,1357.6031458797831,3,Media
78,Feminino,3711.6209390293425,6,Media
77,Feminino,3017.9048353830713,8,Media
42,Feminino,2908.0611628801207,2,Media
46,Feminino,1787.0675518100165,2,Media
70,Feminino,3772.1497262575626,1,Media
21,Feminino,2026.6201539515514,2,Media
57,Masculino,3829.907883085226,4,Baixa
50,Feminino,2207.262889513801,3,Alta
78,Feminino,3861.6141116746517,9,Media
61,Masculino,2262.142474960928,1,Media
61,Feminino,1531.4751107943612,7,Media
18,Feminino,1805.6967433289574,4,Baixa
62,Masculino,2440.523316889445,5,Baixa
20,Masculino,2151.9713291627404,3,Media
57,Masculino,1428.451311890464,9,Baixa
29,Feminino,1062.3314567172924,9,Baixa
40,Feminino,1780.1188182482256,0,Media
32,Feminino,3204.145324230866,4,Media
56,Masculino,1214.7394209452134,0,Media
76,Masculino,3370.4605590553447,5,Media
54,Feminino,2640.1780881902214,2,Alta
25,Masculino,3409.106804508215,1,Alta
36,Masculino,1487.6226673394767,4,Alta
62,Feminino,2458.0549632840525,5,Media
18,Masculino,2759.8818687932403,7,Media
30,Masculino,1934.1914454320727,4,Media
22,Masculino,348.88466226518267,8,Media
54,Feminino,3306.796030212761,9,Alta
34,Feminino,3843.704548607936,9,Media
67,Feminino,1564.7333430155559,6,Media
68,Masculino,3210.0358314725154,2,Media
51,Feminino,3632.5996624737736,9,Media
35,Masculino,1653.7980220118807,7,Media
56,Feminino,831.2187699089909,5,Media
27,Feminino,4439.76313295316,9,Alta
69,Feminino,2588.2285512620892,4,Alta
18,Masculino,2480.0612266816697,8,Baixa
74,Masculino,1483.5714832372419,6,Alta
29,Feminino,2201.043863164943,4,Media
52,Masculino,1439.5655356149632,6,Media
32,Feminino,2181.8404380240067,3,Baixa
79,Masculino,56.57653044419294,2,Media
33,Feminino,3162.350933694256,6,Baixa
29,Feminino,2834.644893778094,7,Alta
18,Feminino,3148.5547765603033,9,Media
43,Masculino,2086.884372599034,7,Baixa
26,Feminino,1611.670618378873,9,Media
65,Feminino,3524.7647196569487,4,Alta
18,Feminino,2496.645148662453,0,Media
49,Feminino,3501.462265025619,5,Media
24,Masculino,2071.605118019716,6,Alta
71,Feminino,3327.8028128919714,6,Baixa
29,Feminino,1763.4415711824363,4,Baixa
36,Feminino,2014.7231994828135,2,Media
18,Feminino,3860.778029105685,5,Alta
34,Masculino,3266.305459829043,3,Baixa
27,Masculino,1570.2985195489728,1,Alta
62,Feminino,738.2549334655848,5,Media
35,Masculino,2141.1188689534174,8,Media
51,Feminino,2760.79022691657,8,Baixa
53,Feminino,3732.7067715438943,1,Baixa
